,Gene,Biomass_p,Arginine,Cysteine,Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Proline,Threonine,Tryptophan,Valine,Glucose,Asparagine,Aspartate,Glutamine,Serine,Tyrosine,,,,,
0,4NPHSULT,0.0231,-0.0076,-0.0028,-0.0031,-0.0068,-0.0136,-0.0126,-0.0032,-0.006,-0.0077,-0.0089,-0.0011,-0.0109,-0.2044,-0.0514,0,0.0028,0,-0.0046,,,,,
1,FAH1,0.0231,-0.0076,-0.0028,-0.0031,-0.0068,-0.0136,-0.0126,-0.0032,-0.006,-0.0077,-0.0089,-0.0011,-0.0109,-0.2044,-0.0514,0,0.0028,0,-0.0046,,,,,
2,FAH2,0.0231,-0.0076,-0.0028,-0.0031,-0.0068,-0.0136,-0.0126,-0.0032,-0.006,-0.0077,-0.0089,-0.0011,-0.0109,-0.2044,-0.0514,0,0.0028,0,-0.0046,,,,,
3,FAH3,0.0231,-0.0076,-0.0028,-0.0031,-0.0068,-0.0136,-0.0126,-0.0032,-0.006,-0.0077,-0.0089,-0.0011,-0.0109,-0.2044,-0.0514,0,0.0028,0,-0.0046,,,,Histogram,
4,P4502C18,0.0231,-0.0076,-0.0028,-0.0031,-0.0068,-0.0136,-0.0126,-0.0032,-0.006,-0.0077,-0.0089,-0.0011,-0.0109,-0.2044,-0.0514,0,0.0028,0,-0.0046,,,,Bin ,Frequency
5,P4502C8,0.0231,-0.0076,-0.0028,-0.0031,-0.0068,-0.0136,-0.0126,-0.0032,-0.006,-0.0077,-0.0089,-0.0011,-0.0109,-0.2044,-0.0514,0,0.0028,0,-0.0046,,,,0,59
6,P4502D6,0.0231,-0.0076,-0.0028,-0.0031,-0.0068,-0.0136,-0.0126,-0.0032,-0.006,-0.0077,-0.0089,-0.0011,-0.0109,-0.2044,-0.0514,0,0.0028,0,-0.0046,,,,0.0207,1
7,P4502E1,0.0231,-0.0076,-0.0028,-0.0031,-0.0068,-0.0136,-0.0126,-0.0032,-0.006,-0.0077,-0.0089,-0.0011,-0.0109,-0.2044,-0.0514,0,0.0028,0,-0.0046,,,,0.0184,0
8,FAS100ACP,0.0231,-0.0076,-0.0028,-0.0031,-0.0068,-0.0136,-0.0126,-0.0032,-0.006,-0.0077,-0.0089,-0.0011,-0.0109,-0.2045,-0.0514,0,0.0028,0,-0.0046,,,,0.0148,1
9,FAS140ACP,0.0231,-0.0076,-0.0028,-0.0031,-0.0068,-0.0136,-0.0126,-0.0032,-0.006,-0.0077,-0.0089,-0.0011,-0.0109,-0.2045,-0.0514,0,0.0028,0,-0.0046,,,,0.0128,2
